datetime,grdpiece
2020-12-13 11:57:29,4.6
2020-12-13 12:12:29,4.6
2020-12-13 12:27:29,4.6
2020-12-13 12:42:29,4.6
2020-12-13 12:57:29,4.6
2020-12-13 13:12:29,4.6
2020-12-13 13:27:29,4.6
2020-12-13 13:42:29,4.6
2020-12-13 13:57:29,4.6
2020-12-13 14:12:29,4.6
2020-12-13 14:27:29,4.7
2020-12-13 14:42:29,4.7
2020-12-13 14:57:29,4.7
2020-12-13 15:12:29,4.7
2020-12-13 15:27:29,4.7
2020-12-13 15:42:29,4.8
2020-12-13 15:57:29,4.8
2020-12-13 16:12:29,4.8
2020-12-13 16:27:29,4.8
2020-12-13 16:42:29,4.8
2020-12-13 16:57:29,4.8
2020-12-13 17:12:29,4.8
2020-12-13 17:27:29,4.8
2020-12-13 17:42:29,4.9
2020-12-13 17:57:29,4.9
2020-12-13 18:12:29,4.9
2020-12-13 18:27:29,4.9
2020-12-13 18:42:29,4.9
2020-12-13 18:57:29,4.9
2020-12-13 19:12:29,4.9
2020-12-13 19:27:29,4.9
2020-12-13 19:42:29,4.9
2020-12-13 19:57:29,4.9
2020-12-13 20:12:29,4.9
2020-12-13 20:27:29,4.9
2020-12-13 20:42:29,4.9
2020-12-13 20:57:29,4.9
2020-12-13 21:12:29,4.9
2020-12-13 21:27:29,4.9
2020-12-13 21:42:29,4.9
2020-12-13 21:57:29,4.9
2020-12-13 22:12:29,4.9
2020-12-13 22:27:29,4.9
2020-12-13 22:42:29,4.9
2020-12-13 22:57:29,4.9
2020-12-13 23:12:29,4.9
2020-12-13 23:27:29,4.9
2020-12-13 23:42:29,4.9
2020-12-13 23:57:29,4.9
2020-12-14 00:12:29,4.9
2020-12-14 00:27:29,4.9
2020-12-14 00:42:29,4.9
2020-12-14 00:57:29,4.9
2020-12-14 01:12:29,4.9
2020-12-14 01:27:29,4.8
2020-12-14 01:42:29,4.8
2020-12-14 01:57:29,4.8
2020-12-14 02:12:29,4.8
2020-12-14 02:27:29,4.8
2020-12-14 02:42:29,4.8
2020-12-14 02:57:29,4.8
2020-12-14 03:12:29,4.8
2020-12-14 03:27:29,4.8
2020-12-14 03:42:29,4.8
2020-12-14 03:57:29,4.8
2020-12-14 04:12:29,4.8
2020-12-14 04:27:29,4.8
2020-12-14 04:42:29,4.8
2020-12-14 04:57:29,4.8
2020-12-14 05:12:29,4.8
2020-12-14 05:27:29,4.8
2020-12-14 05:42:29,4.8
2020-12-14 05:57:29,4.8
2020-12-14 06:12:29,4.8
2020-12-14 06:27:29,4.8
2020-12-14 06:42:29,4.8
2020-12-14 06:57:29,4.8
2020-12-14 07:12:29,4.8
2020-12-14 07:27:29,4.8
2020-12-14 07:42:29,4.8
2020-12-14 07:57:29,4.8
2020-12-14 08:12:29,4.8
2020-12-14 08:27:29,4.8
2020-12-14 08:42:29,4.7
2020-12-14 08:57:29,4.7
2020-12-14 09:12:29,4.7
2020-12-14 09:27:29,4.7
2020-12-14 09:42:29,4.7
2020-12-14 09:57:29,4.7
2020-12-14 10:12:29,4.7
2020-12-14 10:27:29,4.7
2020-12-14 10:42:29,4.7
2020-12-14 10:57:29,4.7
2020-12-14 11:12:29,4.7
2020-12-14 11:27:29,4.7
2020-12-14 11:42:29,4.7
2020-12-14 11:57:29,4.7
2020-12-14 12:12:29,4.7
2020-12-14 12:27:29,4.7
