# Htsmd;te0;dirN
1.120000000000000000e+02;8.835000000000000853e+00;8.000000000000000444e-01
1.130000000000000000e+02;8.634999999999999787e+00;0.000000000000000000e+00
1.140000000000000000e+02;8.734999999999999432e+00;0.000000000000000000e+00
1.150000000000000000e+02;8.935000000000000497e+00;0.000000000000000000e+00
1.160000000000000000e+02;9.435000000000000497e+00;0.000000000000000000e+00
1.170000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
1.180000000000000000e+02;9.634999999999999787e+00;0.000000000000000000e+00
1.190000000000000000e+02;9.035000000000000142e+00;0.000000000000000000e+00
1.200000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
1.210000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
1.220000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
1.230000000000000000e+02;9.234999999999999432e+00;0.000000000000000000e+00
1.240000000000000000e+02;9.435000000000000497e+00;0.000000000000000000e+00
1.250000000000000000e+02;9.035000000000000142e+00;0.000000000000000000e+00
1.260000000000000000e+02;9.035000000000000142e+00;0.000000000000000000e+00
1.270000000000000000e+02;8.935000000000000497e+00;0.000000000000000000e+00
1.280000000000000000e+02;8.935000000000000497e+00;1.000000000000000021e-02
1.290000000000000000e+02;9.234999999999999432e+00;2.450000000000000178e+00
1.300000000000000000e+02;9.535000000000000142e+00;1.017999999999999972e+01
1.310000000000000000e+02;1.013499999999999979e+01;7.589999999999999858e+00
1.320000000000000000e+02;1.063499999999999979e+01;1.296000000000000085e+01
1.330000000000000000e+02;1.033500000000000085e+01;3.189999999999999947e+00
1.340000000000000000e+02;1.083500000000000085e+01;4.929999999999999716e+00
1.350000000000000000e+02;1.063499999999999979e+01;5.110000000000000320e+00
1.360000000000000000e+02;1.003500000000000014e+01;2.669999999999999929e+00
1.370000000000000000e+02;9.134999999999999787e+00;0.000000000000000000e+00
1.380000000000000000e+02;8.734999999999999432e+00;0.000000000000000000e+00
1.390000000000000000e+02;8.634999999999999787e+00;0.000000000000000000e+00
1.400000000000000000e+02;9.035000000000000142e+00;0.000000000000000000e+00
1.410000000000000000e+02;9.234999999999999432e+00;0.000000000000000000e+00
1.420000000000000000e+02;9.435000000000000497e+00;0.000000000000000000e+00
1.430000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
1.440000000000000000e+02;9.935000000000000497e+00;0.000000000000000000e+00
1.450000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
1.460000000000000000e+02;9.535000000000000142e+00;0.000000000000000000e+00
1.470000000000000000e+02;9.634999999999999787e+00;0.000000000000000000e+00
1.480000000000000000e+02;9.234999999999999432e+00;0.000000000000000000e+00
1.490000000000000000e+02;9.134999999999999787e+00;0.000000000000000000e+00
1.500000000000000000e+02;9.234999999999999432e+00;0.000000000000000000e+00
1.510000000000000000e+02;9.335000000000000853e+00;0.000000000000000000e+00
1.520000000000000000e+02;9.634999999999999787e+00;0.000000000000000000e+00
1.530000000000000000e+02;1.003500000000000014e+01;1.219999999999999973e+00
1.540000000000000000e+02;1.073499999999999943e+01;3.700000000000000178e+00
1.550000000000000000e+02;1.083500000000000085e+01;1.719999999999999973e+00
1.560000000000000000e+02;1.123499999999999943e+01;1.060000000000000053e+00
1.570000000000000000e+02;1.163499999999999979e+01;1.540000000000000036e+00
1.580000000000000000e+02;1.183500000000000085e+01;1.479999999999999982e+00
1.590000000000000000e+02;1.213499999999999979e+01;1.820000000000000062e+00
1.600000000000000000e+02;1.193500000000000050e+01;1.010000000000000009e+00
1.610000000000000000e+02;1.163499999999999979e+01;0.000000000000000000e+00
1.620000000000000000e+02;1.133500000000000085e+01;0.000000000000000000e+00
1.630000000000000000e+02;1.093500000000000050e+01;0.000000000000000000e+00
1.640000000000000000e+02;1.063499999999999979e+01;0.000000000000000000e+00
1.650000000000000000e+02;1.003500000000000014e+01;0.000000000000000000e+00
1.660000000000000000e+02;9.435000000000000497e+00;0.000000000000000000e+00
1.670000000000000000e+02;9.535000000000000142e+00;0.000000000000000000e+00
1.680000000000000000e+02;9.734999999999999432e+00;0.000000000000000000e+00
1.690000000000000000e+02;9.035000000000000142e+00;0.000000000000000000e+00
1.700000000000000000e+02;8.335000000000000853e+00;0.000000000000000000e+00
1.710000000000000000e+02;7.834999999999999964e+00;0.000000000000000000e+00
1.720000000000000000e+02;7.235000000000000320e+00;0.000000000000000000e+00
1.730000000000000000e+02;7.235000000000000320e+00;0.000000000000000000e+00
1.740000000000000000e+02;7.334999999999999964e+00;0.000000000000000000e+00
1.750000000000000000e+02;7.834999999999999964e+00;0.000000000000000000e+00
1.760000000000000000e+02;7.735000000000000320e+00;0.000000000000000000e+00
1.770000000000000000e+02;8.035000000000000142e+00;7.500000000000000000e-01
1.780000000000000000e+02;8.535000000000000142e+00;3.200000000000000067e-01
1.790000000000000000e+02;8.634999999999999787e+00;3.300000000000000155e-01
1.800000000000000000e+02;9.234999999999999432e+00;4.799999999999999822e-01
1.810000000000000000e+02;8.835000000000000853e+00;9.679999999999999716e+00
1.820000000000000000e+02;1.073499999999999943e+01;1.249800000000000040e+02
1.830000000000000000e+02;1.023499999999999943e+01;1.016000000000000014e+01
1.840000000000000000e+02;1.023499999999999943e+01;4.179999999999999716e+00
1.850000000000000000e+02;9.435000000000000497e+00;1.000000000000000021e-02
1.860000000000000000e+02;8.935000000000000497e+00;0.000000000000000000e+00
1.870000000000000000e+02;7.934999999999999609e+00;0.000000000000000000e+00
1.880000000000000000e+02;7.434999999999999609e+00;0.000000000000000000e+00
1.890000000000000000e+02;7.035000000000000142e+00;0.000000000000000000e+00
1.900000000000000000e+02;6.535000000000000142e+00;0.000000000000000000e+00
1.910000000000000000e+02;6.035000000000000142e+00;0.000000000000000000e+00
1.920000000000000000e+02;5.535000000000000142e+00;0.000000000000000000e+00
1.930000000000000000e+02;5.735000000000000320e+00;0.000000000000000000e+00
1.940000000000000000e+02;5.934999999999999609e+00;0.000000000000000000e+00
1.950000000000000000e+02;5.634999999999999787e+00;0.000000000000000000e+00
1.960000000000000000e+02;5.634999999999999787e+00;0.000000000000000000e+00
1.970000000000000000e+02;5.735000000000000320e+00;0.000000000000000000e+00
1.980000000000000000e+02;6.035000000000000142e+00;0.000000000000000000e+00
1.990000000000000000e+02;6.134999999999999787e+00;0.000000000000000000e+00
2.000000000000000000e+02;6.134999999999999787e+00;2.000000000000000042e-02
2.010000000000000000e+02;6.334999999999999964e+00;4.400000000000000355e+00
2.020000000000000000e+02;6.934999999999999609e+00;2.800000000000000000e+01
2.030000000000000000e+02;8.935000000000000497e+00;1.551299999999999955e+02
2.040000000000000000e+02;8.535000000000000142e+00;1.517400000000000091e+02
2.050000000000000000e+02;9.935000000000000497e+00;1.138400000000000034e+02
2.060000000000000000e+02;1.053500000000000014e+01;3.789000000000000057e+01
2.070000000000000000e+02;1.113499999999999979e+01;5.419999999999999929e+00
2.080000000000000000e+02;1.113499999999999979e+01;1.209999999999999964e+00
2.090000000000000000e+02;1.133500000000000085e+01;0.000000000000000000e+00
2.100000000000000000e+02;1.153500000000000014e+01;0.000000000000000000e+00
2.110000000000000000e+02;1.123499999999999943e+01;0.000000000000000000e+00
2.120000000000000000e+02;1.143500000000000050e+01;0.000000000000000000e+00
2.130000000000000000e+02;1.133500000000000085e+01;0.000000000000000000e+00
2.140000000000000000e+02;1.123499999999999943e+01;0.000000000000000000e+00
2.150000000000000000e+02;1.093500000000000050e+01;0.000000000000000000e+00
2.160000000000000000e+02;1.103500000000000014e+01;0.000000000000000000e+00
2.170000000000000000e+02;1.073499999999999943e+01;0.000000000000000000e+00
2.180000000000000000e+02;1.093500000000000050e+01;0.000000000000000000e+00
2.190000000000000000e+02;1.113499999999999979e+01;0.000000000000000000e+00
2.200000000000000000e+02;1.003500000000000014e+01;0.000000000000000000e+00
2.210000000000000000e+02;9.134999999999999787e+00;0.000000000000000000e+00
2.220000000000000000e+02;8.835000000000000853e+00;0.000000000000000000e+00
2.230000000000000000e+02;8.535000000000000142e+00;0.000000000000000000e+00
2.240000000000000000e+02;7.934999999999999609e+00;1.300000000000000044e-01
2.250000000000000000e+02;8.435000000000000497e+00;1.619399999999999977e+02
2.260000000000000000e+02;8.835000000000000853e+00;4.378000000000000114e+02
2.270000000000000000e+02;9.435000000000000497e+00;5.732500000000000000e+02
2.280000000000000000e+02;1.063499999999999979e+01;6.103400000000000318e+02
